Arrival,105
Edge Vision,37
Wanderu,22
WalletKit,62
WHILL,24
Postmates,12
Cabify,15
rome2rio,8
TechnoRides,8
RelayRides,22
Upshift,8
RidePost,14
Terrafugia,11
Cargomatic,2
TruckTrack,11
Shuddle,12
Yaxi,11
Waze,19
Zoom,21
Cargobr,18
SpotHero,7
EverCharge,14
Ridejoy,9
Locately,12
ZIRX,14
WunderCar,17
We Carpool,18
smove,5
Bustr,22
BikeSpike,4
Book A Boat,3
Mobli,5
Traansmission,8
TaxiStartup,4
SunyRide,23
ParkAround,4
HelmetHub,18
Carma,4
MakeMyTrip,3
Transmetrics,13
Whisk,18
Orbitz,8
Texxi,12
Auro Robotics,16
TransitHero,9
Enroute Systems,8
Nooly,6
Aventones,22
Electro-Pedicab,20
Loup,11